Id_Hotel,Nama Hotel,Kategori Hotel,Klasifikasi Hotel,Alamat,Harga
128,THE BATIK BED & COFFEE,BINTANG 3,CITY HOTEL,JL. SRIWIJAYA NO. 121 BANDUNG,690000
129,ASMILA BOUTIQE,BINTANG 3,BOUTIQE HOTEL,JL. DR. SETIABUDHI NO. 54 SETIABUDI BANDUNG,690000
130,HOTEL UTARI DAGO,BINTANG 3,RESIDENTIAL HOTEL,JL. IR. H JUANDA NO. 50 DAGO COBLONG BANDUNG,690000
131,DAILY HOME APARTMENT,BINTANG 3,APARTMENT,JL. SETIABUDI NO. 130-134 SETIABUDI BANDUNG,690000
132,HOTEL BILIQUE,BINTANG 3,RESIDENTIAL HOTEL,JL. SERSAN BAJURI NO. 100,690000
133,TOPAS GALLERY,BINTANG 3,DOWN TOWN HOTEL,JL. DR. DJUNDJUNAN NO. 153,690000
134,HOTEL TRIO,BINTANG 3,CITY HOTEL,JL. GARDUJATI NO. 55-61,690000
135,HOTEL SUKAJADI,BINTANG 3,DOWN TOWN HOTEL,JL. SUKAJADI NO. 176,690000
136,HOTEL MUTIARA,BINTANG 3,CITY HOTEL,JL. KEBON KAWUNG NO. 60,690000
137,NALENDRA,BINTANG 3,DOWN TOWN HOTEL,JL. CIHAMPELAS NO. 227-229,690000
138,CIPAKU GARDEN HOTEL,BINTANG 3,RESORT HOTEL,JL.CIPAKU XI NO. 2,690000
139,GRAND SERELA,BINTANG 3,CITY HOTEL,JL. R.E. MARTADINATA NO. 56,690000
140,HOTEL GUCI,BINTANG 3,CITY HOTEL,JL. PASIR KALIKI NO. 53-55,690000
141,INTERNATIONAL IMPERIUM,BINTANG 3,DOWN TOWN HOTEL,JL. DR. RUM NO. 30-32,690000
142,HOTEL KEDATON,BINTANG 3,CITY HOTEL,JL. SUNIARAJA NO. 14,690000
143,NEW NARIPAN,BINTANG 3,CITY HOTEL,JL. NARIPAN NO. 31-35,690000
144,HOTEL PERDANA WISATA,BINTANG 3,CITY HOTEL,JL. JEND. SUDIRMAN NO. 66-68,690000
145,SANTIKA,BINTANG 3,CITY HOTEL,JL. SUMATERA NO. 52-54,690000
146,HOTEL IBIS TSM,BINTANG 3,CITY HOTEL,JL. GATOT SUBROTO NO. 289,690000
147,THE GUESTHOUSE CIPEDES,BINTANG 3,GUEST HOUSE,JL. CIPEDES ATAS NO. 86B BANDUNG,690000
148,OBC GUEST HOUSE,BINTANG 3,GUEST HOUSE,JL. RANCABENTANG 1 NO.3A CIUMBULEUIT BANDUNG,690000
149,SWEET KARINA HOTEL,BINTANG 3,CITY HOTEL,JL. TERUSAN BABAKAN JERUK IV NO.38 BANDUNG JAWA BARAT,690000
150,CASSADUA HOTEL,BINTANG 3,CITY HOTEL,JL. CASSA NO.2 PASTEUR BANDUNG,690000
151,NARAYA HOUSE,BINTANG 3,CITY HOTEL,JL. KH. AHMAD DAHLAN NO. 20 LENGKONG BANDUNG JAWA BARAT,690000
152,OTTEN INN,BINTANG 3,CITY HOTEL,JL. DR. OTTEN NO. 28 PASTEUR BANDUNG JAWA BARAT,690000
153,CATELLYA GUEST HOUSE,BINTANG 3,GUEST HOUSE,JL. CIPAKU INDAH III NO. 11 SETIABUDHI BANDUNG,690000
154,DE BEVERLY DAGO APARTMENT,BINTANG 3,APARTMENT,JL. SANGKURIANG NO. 15 BANDUNG JAWA BARAT,690000
155,RED DOORZ APARTMENT,BINTANG 3,APARTMENT,JL. SOEKARNO HATTA NO. 689B BANDUNG 40286 JAWA BARAT,690000
156,RED DOORZ GEDUNG SATE,BINTANG 3,CITY HOTEL,JL. ARIA JIPANG NO. 6 CITARUM BANDUNG,690000
157,RED DOORZ PASTEUR,BINTANG 3,DOWN TOWN HOTEL,"JL. PDAM NO.7 SUKAMULYA PASTEUR 40162Â 
  BANDUNG",690000
158,POP HOTEL BANDUNG FESTIVAL CITY LINK,BINTANG 2,CITY HOTEL,JL. PETA 241 PASIR KOJA BANDUNG,410000
159,TAMANSARI PANORAMIC,BINTANG 2,CITY HOTEL,JL. SOEKARNO HATTA NO. 783A BANDUNG,410000
160,VIO CIHAMPELAS,BINTANG 2,DOWN TOWN HOTEL,JL. CIHAMPELAS NO. 108 BANDUNG JAWA BARAT,410000
161,ALAM PERMAI,BINTANG 2,CITY HOTEL,JL. DR. SETIABUDI NO. 432,410000
162,BUMI ASIH,BINTANG 2,CITY HOTEL,JL. CILAMAYA NO. 1,410000
163,DE'QUR,BINTANG 2,CITY HOTEL,JL. DIPATIUKUR NO. 27,410000
164,HOTEL KING GARDEN,BINTANG 2,CITY HOTEL,JL. GARDUJATI NO. 81-83,410000
165,ROYAL PALACE,BINTANG 2,CITY HOTEL,JL. LEMBONG NO. 21,410000
166,HOTEL CITRADREAM BANDUNG,BINTANG 2,CITY HOTEL,JL PASIR KALIKI NO 36-42 BANDUNG,410000
167,AMARIS HOTEL CIHAMPELAS,BINTANG 2,DOWN TOWN HOTEL,JL. CIHAMPELAS NO.171 BANDUNG,410000
168,HOTEL AUGUSTA VALLEY,BINTANG 2,RESIDENTIAL HOTEL,JL. CIPAKU NO. 19 SETIABUDI BANDUNG,410000
169,RED DOORZ WASTU KENCANA,BINTANG 2,CITY HOTEL,JL. LINGGAWASTU NO. 3 BANDUNG WETAN TAMAN SARI JAWA BARAT,410000
170,RED DOORZ PLUS,BINTANG 2,DOWN TOWN HOTEL,JL. CIHAMPELAS NO. 179 CIHAMPELAS BANDUNG,410000
171,HOTEL GHOTIC,BINTANG 2,CITY HOTEL,JL.SOEKARNO HATTA NO.534 BANDUNG,410000
172,HOTEL 88 KOPO BANDUNG,BINTANG 2,CITY HOTEL,JL. KOPO CIRANGRANG NO. 459 BANDUNG,410000
173,GRAHA CIUMBULEUIT GUEST HOUSE,BINTANG 2,GUEST HOUSE,JL. CIUMBULEUIT NO.156 BANDUNG,410000
174,HOTEL AUGUSTA SURAPATI,BINTANG 2,CITY HOTEL,JL. SURAPATI NO.203 BANDUNG,410000
175,HOTEL SERENA BANDUNG,BINTANG 2,CITY HOTEL,JL. MARJUK NO.4-6 KEBON KAWUNG BANDUNG,410000
176,NAVAL HOTEL,BINTANG 2,CITY HOTEL,JL. SUKAJADI NO.180 SUKAJADI BANDUNG,410000
177,AMIRA HOTEL,BINTANG 2,CITY HOTEL,JL. DANGDEUR INDAH NO.20 BANDUNG,410000
178,HOTEL CITARUM,BINTANG 2,CITY HOTEL,JL. CITARUM NO. 16 BANDUNG,410000
179,HOTEL HARAPAN INDAH,BINTANG 2,CITY HOTEL,JL. GATOT SUBROTO NO. 45 B LENGKONG BANDUNG,410000
180,BUKIT DAGO HOTEL,BINTANG 2,RESIDENTIAL HOTEL,JL. IR. H. JUANDA NO. 311 DAGO BANDUNG JAWA BARAT,410000
181,HOTEL RIAU BANDUNG,BINTANG 2,CITY HOTEL,JL. RE MARTADINATA NO. 191 RIAU BANDUNG,410000
182,VIO HOTEL PASTEUR,BINTANG 2,DOWN TOWN HOTEL,JL. DR. DJUNJUNAN PASTEUR NO. 154 BANDUNG,410000
183,LOTUS HOTEL,BINTANG 2,CITY HOTEL,JL. TUBAGUS ISMAIL VIII NO.45 DAGO BANDUNG,410000
184,HOTEL CARYOTA,BINTANG 2,CITY HOTEL,JL. SUKAJADI NO.169 SUKAJADI BANDUNG,410000
185,RED DOORZ CIPAKU,BINTANG 2,RESIDENTIAL HOTEL,JL. CIPAKU INDAH III NO. 11 LEDENG SETIABUDI BANDUNG,410000
186,RUBY HOTEL SYARIAH,BINTANG 2,CITY HOTEL,JL. DR. RUBINI NO. 4 PASIR KALIKI BANDUNG,410000
187,WIRTON DAGO HOTEL,BINTANG 2,RESIDENTIAL HOTEL,"JL. IR. H. DJUANDA NO. 395 DAGOÂ 
  BANDUNG JAWA BARAT",410000
188,RED DOORZ CIBOGO BAWAH,BINTANG 2,RESIDENTIAL HOTEL,JL. CIBOGO BAWAH 23-25 BANDUNG PASTEUR,410000
189,BANTAL GULING ASIA AFRIKA,BINTANG 2,GUEST HOUSE,JL. KAUTAMAAN ISTRI NO.30B BANDUNG,410000
190,HOTEL CIHAMPELAS,BINTANG 2,DOWN TOWN HOTEL,JL. CIHAMPELAS NO.179 CIHAMPELAS BANDUNG JAWA BARAT,410000
191,ARIANDRI RESIDENCE,BINTANG 2,CITY HOTEL,JL. CILAKI NO.31 BANDUNG,410000
192,MINE HOME HOTEL,BINTANG 2,CITY HOTEL,JL. MARJUK NO.9 KEBON KAWUNG BANDUNG,410000
193,VIO HOTEL SURAPATI,BINTANG 2,CITY HOTEL,JL. SURAPATI NO. 15 BANDUNG,410000
194,HOTEL S3 SETRASARI,BINTANG 2,CITY HOTEL,JL. SURYA SUMANTRI KAV. 10 D BANDUNG,410000
195,TRIPLE SEVEN HOTEL,BINTANG 2,DOWN TOWN HOTEL,JL. PESANTREN WETAN NO. 20 PANDU-PADJAJARAN BANDUNG,410000
196,BALI INDAH HOTEL,BINTANG 2,CITY HOTEL,JL. BKR NO. 75 LINGKAR SELATAN BANDUNG,410000
197,GRAND AMELLIA HOTEL,BINTANG 2,RESIDENTIAL HOTEL,JL. CIJEROKASO NO. 124 GEGER KALONG HILIR BANDUNG JAWA BARAT,410000
198,LATIEF INN HOTEL,BINTANG 2,CITY HOTEL,JL. NATUNA NO.16 BANDUNG,410000
199,BANTAL GULING ALUN ALUN BANDUNG,BINTANG 2,CITY HOTEL,JL. MOH. TOHA NO. 42 BANDUNG JAWA BARAT,410000
200,HOTEL CIHAMPELAS 2,BINTANG 2,DOWN TOWN HOTEL,JL. CIHAMPELAS NO. 222,410000
201,AMARIS HOTEL CIMANUK,BINTANG 2,CITY HOTEL,JL. CIMANUK NO.14 BANDUNG,410000
202,DPALMA HOTEL,BINTANG 2,CITY HOTEL,JL. JEND. GATOT SUBROTO NO. 41 LENGKONG BANDUNG,410000
203,D'RIVER GUEST HOUSE,BINTANG 2,GUEST HOUSE,JL CIHAMPELAS 294 CIHAMPELAS BANDUNG,410000
204,SAWUNGGALING HOTEL,BINTANG 2,CITY HOTEL,JL. SAWUNGGALING NO.13 BANDUNG JAWA BARAT,410000
205,CORSICA HOTEL,BINTANG 2,CITY HOTEL,JL. SUPRATMAN NO. 43A BANDUNG WETAN BANDUNG,410000
206,POIN PHILA,BINTANG 2,DOWN TOWN HOTEL,JL. CIHAMPELAS NO.12 CIHAMPELAS BANDUNG JAWA BARAT,410000
207,HYPER INN,BINTANG 2,CITY HOTEL,JL. PASIR KALIKI RUKO HYPERSQUARE BLOK D 29 - 32 BANDUNG,410000
208,HOTEL ARIMBI DESTIK,BINTANG 2,CITY HOTEL,JL. DEWI SARTIKA NO. 108 A REGOL LENGKONG BANDUNG,410000
209,FLORES GALLERY HOTEL,BINTANG 2,CITY HOTEL,JL. FLORES NO. 7 RIAU BANDUNG,410000
210,DE'KAYA KINI HOTEL,BINTANG 2,CITY HOTEL,JL. CIPAMOKOLAN KOMP. RANCALOA REGENCY II NO.7 RIUNG BANDUNG BANDUNG,410000
211,WISMA DAGO 22,BINTANG 2,GUEST HOUSE,JL. DAGO POJOK NO. 22B DAGO BANDUNG JAWA BARAT,410000
212,RED DOORZ PLUS RUMAH MODE,BINTANG 2,DOWN TOWN HOTEL,JL. CIPAGANTI NO.150-152 CIPAGANTI BANDUNG,410000
213,ROYAL MERDEKA,BINTANG 2,CITY HOTEL,JL. MERDEKA NO. 34,410000
214,MALEO KOSTEL,BINTANG 2,CITY HOTEL,"JL. DANGDEUR INDAH II NO.4&15 SURYA SUMANTRI PASTEUR BANDUNG JAWA
  BARAT",410000
215,AMELLIA HOTEL PASTEUR,BINTANG 2,RESIDENTIAL HOTEL,JL. CIBOGO NO.81 SUKAWARNA SUKAJADI KOTA BANDUNG JAWA BARAT,410000
216,CT 195,BINTANG 2,GUEST HOUSE,JL. CIPEDES TENGAH NO. 195 SUKAJADI BANDUNG,410000
217,HOTEL UNIK BANDUNG,BINTANG 2,CITY HOTEL,JL. H. AKBAR NO.12 KEBON KAWUNG BANDUNG,410000
218,THE FELI HOTEL,BINTANG 2,CITY HOTEL,JL. BUAH BATU NO. 152 BANDUNG,410000
219,KALIMASADA HOTEL,BINTANG 2,CITY HOTEL,JL. KALIMANTAN NO.5 SUMUR BANDUNG BANDUNG,410000
220,ALQUEBY HOTEL,BINTANG 2,CITY HOTEL,JL. TERUSAN JAKARTA UTARA NO.7 BANDUNG,410000
221,SUTAN RAJA GUEST HOUSE,BINTANG 2,GUEST HOUSE,JL. TALAGA BODAS NO.66 BANDUNG,410000
222,BANTAL GULING GUEST HOUSE GATSU,BINTANG 2,GUEST HOUSE,JL.GATOT SUBROTO 194 BANDUNG BANDUNG CITY CENTER BANDUNG,410000
223,PONDOK AYUNI,BINTANG 2,GUEST HOUSE,JL. TERUSAN SARIRASA NO.2A SARIJADI SUKASARI PASTEUR BANDUNG JAWA BARAT,410000
224,WISMA DAGO 11,BINTANG 2,GUEST HOUSE,JL. DAGO POJOK NO. 11B BANDUNG JAWA BARAT,410000
225,HOTEL ASTRIA GRAHA,BINTANG 2,CITY HOTEL,JL. DALEM KAUM NO. 130A BANDUNG,410000
226,KARTIKA HOTEL,BINTANG 2,CITY HOTEL,JL. L. L. R. E. MARTADINATA NO. 144 A RIAU BANDUNG JAWA BARAT,410000
227,DANOUFA HOTEL,BINTANG 2,CITY HOTEL,JL. TITIRAN NO.17 SADANG SERANG COBLONG BANDUNG,410000
228,THE POSTER HOTEL MICE,BINTANG 2,BUSSINESS HOTEL,JL. PHH MUSTOFA NO. 33 A BANDUNG,410000
229,ARIANDRI BOUTIQUE GUEST HOUSE,BINTANG 2,GUEST HOUSE,JL. SUKAKARYA NO.15 SURYA SUMANTRI BANDUNG,410000
230,BALTIKA HOTEL,BINTANG 2,CITY HOTEL,JL. GATOT SUBROTO NO. 38 MALABAR LENGKONG BANDUNG JAWA BARAT,410000
231,HOTEL ENDAH PARAHYANGAN,BINTANG 2,CITY HOTEL,JL. RAYA CIBEUREUM NO.14 BANDUNG JAWA BARAT,410000
232,THE EIGHT HOTEL,BINTANG 2,CITY HOTEL,JL. SALENDRO UTARA NO.1 KEL. TURANGGA BANDUNG JAWA BARAT,410000
233,ILOS HOTEL,BINTANG 2,CITY HOTEL,JL. BABAKAN JERUK III NO.37-39 PASTEUR BANDUNG,410000
234,NEW MOONLIGHT HOTEL,BINTANG 2,CITY HOTEL,JL. TERUSAN PASIR KOJA NO. 24-26 BANDUNG,410000
235,EVE HOTEL,BINTANG 2,CITY HOTEL,JL MEKARSARI NO 2 CIBADUYUT BANDUNG JAWA BARAT,410000
236,HOTEL MONTAMERI,BINTANG 2,CITY HOTEL,JL. PEJUANG 45 NO. 77 BANDUNG JAWA BARAT,410000
237,UNIQUE GUEST HOUSE,BINTANG 2,GUEST HOUSE,JL. ENCES AJIS 34 (GARDU JATI) PASIR KALIKI BANDUNG JAWA BARAT,410000
238,SCARLET BUKIT PAKAR HOTEL,BINTANG 2,RESIDENTIAL HOTEL,JL. BUKIT PAKAR TIMUR I NO. 148 A DESA CIBURIAL DAGO ATAS BANDUNG,410000
239,RED DOORZ PLUS CASSA,BINTANG 2,CITY HOTEL,JL. CASSA NO. 2 SUKAWARNA SUKAJADI BANDUNG JAWA BARAT,410000
240,SETRA PRIANGAN GUEST HOUSE,BINTANG 2,GUEST HOUSE,JL. SETRA INDAH UTARA II NO.17 BANDUNG JAWA BARAT,410000
241,WISMA GANDAPURA,BINTANG 2,GUEST HOUSE,JL. R.E MARTADINATA NO. 120 SUMURBANDUNG BANDUNG JAWA BARAT,410000
242,RED DOORZ PVJ,BINTANG 2,DOWN TOWN HOTEL,JL. SUKAJADI NO. 1-3 SUKABUNGAH 40162 BANDUNG,410000
243,KENANGAN HOTEL,BINTANG 2,CITY HOTEL,JL. KEBON SIRIH NO.4 BANDUNG,410000
244,CHERRY HOME,BINTANG 2,CITY HOTEL,JL. BABAKAN JERUK IV NO. 37-39 PASTEUR BANDUNG JAWA BARAT,410000
245,MINE HOME HOTEL CIHAMPELAS,BINTANG 2,DOWN TOWN HOTEL,JL. BAPAK HUSEN DALAM NO. 10 CIHAMPELAS BANDUNG,410000
246,ARAYA HUIS HOMESTAY,BINTANG 2,GUEST HOUSE,JL. BELAKANG PASAR NO. 110 ANDIR BANDUNG,410000
247,DAGO'S HILL BANDUNG,BINTANG 2,CITY HOTEL,JL. TUBAGUS ISMAIL VIII NO.39 A DAGO BANDUNG,410000
248,WOOD HOTEL BANDUNG,BINTANG 2,CITY HOTEL,PANGRANGO TOWER AT PARAHYANGAN RESIDENCES JL. CIUMBULEUIT 125Â  BANDUNG,410000
249,MAGNOLIA BED & BREAKFAST,BINTANG 2,GUEST HOUSE,JL. SINDANG SIRNA II NO.363 SUKAJADI BANDUNG,410000
250,FORA GUEST HOUSE LINGKAR SELATAN,BINTANG 2,GUEST HOUSE,JL. PETA KOMPLEK TAMAN LINGKAR SELATAN NO.22 BANDUNG,410000
251,DE MAYA COTTAGE,BINTANG 2,GUEST HOUSE,JL. BUKIT PAKAR TIMUR V BLOK H 4- NO 16 BANDUNG,410000
252,HOTEL VICTORY,BINTANG 2,CITY HOTEL,JL. PAJAJARAN NO.79 PASIR KALIKI BANDUNG,410000
253,HOTEL NYLAND CIPAGANTI,BINTANG 2,DOWN TOWN HOTEL,JL. A. A. WIRANATA KUSUMAH (CIPAGANTI) NO.14 BANDUNG JAWA BARAT,410000
254,KENANGAN HOTEL BANDUNG,BINTANG 2,CITY HOTEL,JL. KEBON SIRIH NO.4 BANDUNG,410000
255,VENICE GUEST HOUSE BANDUNG,BINTANG 2,GUEST HOUSE,JL. KEBON SIRIH NO.6 BANDUNG,410000
256,THE SUMMIT RESIDENCE BANDUNG,BINTANG 2,CITY HOTEL,JL. CIBOGO BAWAH NO.23-25 CIBOGO BANDUNG,410000
257,CHERRY HOME EXPRESS BANDUNG,BINTANG 2,CITY HOTEL,JL. SURYA SUMANTRI NO. 93 PASTEUR BANDUNG,410000
258,VERONA RESIDENCE BANDUNG,BINTANG 2,RESIDENTIAL HOTEL,JL. BUKIT INDAH NO.9 HEGARMANAH CIUMBULEUIT BANDUNG,410000
259,CASSA DE APPLE BANDUNG,BINTANG 2,CITY HOTEL,JL. APEL NO. 2 DAGO ATAS BANDUNG,410000
260,HOTEL BUMI ASIH GEDUNG SATE BANDUNG,BINTANG 2,CITY HOTEL,JL. CILAMAYA NO. 1 BANDUNG,410000
261,LA NOSTALGIE BOUTIQUE GUEST HOUSE,BINTANG 2,GUEST HOUSE,JL. GALUNGGUNG NO.29 BANDUNG,410000
262,ABADI ASRI HOTEL BANDUNG,BINTANG 2,RESIDENTIAL HOTEL,JL. DR. SETIABUDI NO.287 SETIABUDI BANDUNG JAWA BARAT,410000
263,HI-QUALITY GUEST HOUSE,BINTANG 2,GUEST HOUSE,JL.SANGKURIANG NO.15BANDUNG,410000
264,WISMA JOGLO DAGO,BINTANG 2,GUEST HOUSE,JL. RESOT DAGO PAKAR NO. 19 DAGO BANDUNG,410000
265,RIZH HOTEL,BINTANG 2,CITY HOTEL,JL. TALAGA BODAS NO.6 MALABAR LENGKONG BANDUNG JAWA BARAT,410000
266,VELEZA HOTEL,BINTANG 2,CITY HOTEL,JL. LENGKONG KECIL NO. 84 LENGKONG BANDUNG,410000
267,IMAGE HOTEL AND RESTO,BINTANG 2,CITY HOTEL,JL. LENGKONG BESAR NO. 145 LENGKONG BANDUNG,410000
268,ARWIGA HOTEL,BINTANG 2,RESIDENTIAL HOTEL,JL.SEDERHANA NO.53 BANDUNG JAWA BARAT,410000
269,HOTEL SABANG BANDUNG,BINTANG 1,CITY HOTEL,JL. SABANG NO. 101 CITARUM BANDUNG WETAN KOTA BANDUNG JAWA BARAT,230000
270,THE BLESSING HOUSE BED AND BREAKFAST,BINTANG 1,CITY HOTEL,JL. CIHAMPELAS NO. 186 KAV. 16 LT. 2 CIHAMPELAS BANDUNG,230000
